COD_TIPO_NDG,ID_CUSTOMER,IMP_GBV,PRED_PROB_RECOVERY_12M_AHEAD,PRED_RECOVERY_RATE_12M_AHEAD,PRED_INCASSI_12M_AHEAD,PRED_RECOVERY_CLASS
F,15793,1619.33,0.9708104680914109,0.45379589845002316,734.845312237076,A
C,18291,986.19,0.9501553882648445,0.45375515575189224,447.4887970509586,A
F,20942,566.13,0.9478035098950488,0.45047362971411525,255.02663599005206,A
F,21651,734.65,0.9112022300189587,0.4491471687897151,329.9659675513642,A
F,8312,1405.12,0.8961527797115747,0.4448154167272229,625.0190383517554,A
G,22564,1785.92,0.9673981397433782,0.44433640130471574,793.549265818118,A
F,22037,957.29,0.8097764649319183,0.44141071321859654,422.5580616570303,A
G,10992,1623.64,0.9316850597024328,0.4375068799810252,710.3536706123919,A
F,24982,14300.71,0.913018782460119,0.43655563785865936,6243.055575881708,A
F,21223,1539.07,0.8650107352780966,0.4364961723168729,671.7981639277295,A
F,16323,988.5,0.8668895131803905,0.43524663763471944,430.24130130192015,A
F,24713,853.33,0.954708370679988,0.4338188884173388,370.1906720531677,A
F,24338,1338.03,0.8440685370166019,0.43131216334649075,577.108613922505,A
G,3280,1640.62,0.7852648271152578,0.43060416379826555,706.4578032107104,A
G,3483,948.26,0.7774366678948091,0.42919505741233377,406.98850514181964,A
F,21656,1226.1,0.880512056104347,0.4221981970669175,517.6572094237475,A
F,19699,1194.05,0.8000613603102287,0.4209066780959018,502.58361898041153,A
G,18387,1721.2,0.8002244592570286,0.4198436231865794,722.6348442287405,A
G,21649,1083.58,0.8451768017689018,0.41556058911182486,450.29314314979115,A
C,11,1930.97,0.8565987646860944,0.415379773982794,802.0858821675558,A
G,1410,1008.1,0.8704971277686997,0.4143924146337246,417.7489931922578,A
F,21174,12853.41,0.928077771444501,0.4126772792239364,5304.310267549736,A
G,10532,1211.58,0.9604800984153737,0.41092664658360945,497.8705064677695,A
F,6418,103.0,0.8780184927187948,0.40621507841221355,41.840153076457995,A
G,10292,1039.82,0.8609019464693264,0.40608158717308895,422.2517559743213,A
F,24466,4143.91,0.9802817838669154,0.40386055557213807,1673.5617948409385,A
G,24553,1597.77,0.8944778800647412,0.4024365397485749,643.0010301140805,A
F,7698,943.13,0.9409522282161885,0.40131307627491103,378.4904016271568,A
G,3117,1431.59,0.8985107439804056,0.3993913295612683,571.764633486616,A
F,22720,1172.53,0.7624898906221895,0.39903128029889906,467.8761470888681,A
F,14621,1698.46,0.888980666475923,0.3981844924697564,676.3004330801824,A
F,14693,1097.02,0.8073960031363397,0.39690384674479007,435.4114579559696,A
F,3416,442.0,0.7809245181100475,0.39342987725537293,173.89600574687483,A
F,11919,3882.5,0.8266027597981628,0.39297076909499573,1525.7090110113209,A
F,26091,820.46,0.7633129945006903,0.39253174295793203,322.0565938272649,A
F,17875,905.19,0.8079317543762152,0.3913909793983105,354.28320064155673,A
G,3153,1131.73,0.9862212828830118,0.39131594462883723,442.86399401479395,A
G,21255,989.82,0.9389453753852297,0.38912663519396384,385.1653260476893,A
G,16459,1675.11,0.8806101500415948,0.38466131325606606,644.3500124483688,A
G,3662,519.15,0.7535446579965751,0.382860572854476,198.7620663974012,A
C,9539,765.61,0.8741843472306617,0.37924404160770503,290.35303069527504,A
C,25805,634.13,0.9594280896828519,0.37834242553559433,239.91828230488642,A
C,2759,28.83,0.7615427042701872,0.3763899718270822,10.85132288777478,A
G,3446,1222.18,0.9252872987807106,0.37585148709609045,459.35817049909986,A
F,20821,448.86,0.8545606946168885,0.37423424529333793,167.97878334236768,A
C,26041,534.55,0.9298190264269635,0.3729722913025508,199.3723383157785,A
F,21689,800.21,0.9106186864330587,0.37005783166304296,296.1239774750836,A
C,8331,1165.99,0.9821979529272827,0.36816907187486747,429.2814561153767,A
F,26530,596.04,0.8152807512987584,0.3675976050017664,219.10287648525284,A
F,15472,5820.53,0.8936507610905425,0.3660087476720026,2130.364896087321,A
F,13150,1278.0,0.9559548932124803,0.3652788274164768,466.8263414382574,A
C,17750,1141.79,0.9785037639890887,0.36472167275589323,416.4355587359513,A
C,19981,4773.36,0.9419723014415902,0.36129970688692314,1724.6135688657635,A
G,17867,966.16,0.8985967491442615,0.36102432076152746,348.80725774695736,A
C,7823,1053.49,0.8391432726735271,0.3602445509392418,379.51403196898184,A
G,22438,4285.08,0.9258572747668989,0.3598771145851969,1542.1022261667354,A
F,3508,871.59,0.7953266872657121,0.35972169907226265,313.5298356943934,A
F,8262,600.38,0.7679142599480386,0.3569672843484635,214.3160181771305,A
F,12229,375.78,0.7856985417812871,0.3564647173840411,133.95231149857497,A
F,24216,295.6,0.9421598134649655,0.35609716711893113,105.26232260035606,A
F,23329,512.77,0.7861903433702239,0.35516621712081675,182.1185811530412,A
G,13315,2023.46,0.9252878064127408,0.35111785203710644,710.4729288830034,A
C,21167,458.18,0.8834911864405565,0.34901890882076725,159.91348364349915,A
G,1717,1625.3,0.7931706776096202,0.348138214496069,565.829040020461,A
F,7027,1489.01,0.8616021175400236,0.34714145185017437,516.8970932194281,A
G,788,1232.09,0.7820364647848312,0.3460602744836846,426.37740358860293,A
F,3560,455.52,0.8836975764325875,0.34588252311773454,157.55640693059044,A
C,24071,6838.32,0.7885136279160836,0.3456938518795112,2363.965181184699,A
G,24739,679.28,0.808280435749529,0.34564407408255793,234.78910664279994,A
C,22226,4506.76,0.9731826401673407,0.3442585322423022,1551.4905827683178,A
C,16838,1493.34,0.9071865640145677,0.3441023284423158,513.8617711560479,A
C,15538,732.89,0.9077573830774978,0.343189775297618,251.52035441787126,A
G,7563,1892.7,0.9013344660735786,0.3421712897318391,647.6276000754518,A
F,26963,832.88,0.8627998600675183,0.34113663404478356,284.1258797632193,A
G,9920,1193.12,0.8051498879144956,0.34075039691935477,406.55611357242054,A
F,23592,7922.94,0.9067830720306087,0.33540385959644886,2657.3846553510884,A
C,21716,618.55,0.9396635278330955,0.33496317517021035,207.19147200153358,A
C,24818,849.6,0.9565317338670296,0.3343894075139938,284.09724062388915,A
C,27266,9223.81,0.9228276007684791,0.3324565137388742,3066.515715989765,A
C,24616,198.04,0.8136049363193769,0.33062234991266637,65.47645017670445,A
F,5757,621.23,0.7949655224707408,0.3251580601911744,201.99794173256328,A
G,23002,782.26,0.8972924903769205,0.32494860166831135,254.19429314105324,A
F,1292,366.16,0.8664377950047478,0.3244497615611065,118.80052469321477,A
G,10402,780.74,0.8732639918054425,0.322845603590977,252.0584765476194,A
C,25458,1194.78,0.8565618813987536,0.3205904109251774,383.0350111651835,A
F,15709,1381.37,0.7636101257684279,0.32043393616651955,442.63782640234507,A
G,10447,830.75,0.9387217833174774,0.3201539423668909,265.9678876212946,A
G,119,3987.08,0.818659687216887,0.3199600050275838,1275.7061368453788,A
F,15048,1371.14,0.8543149570155717,0.31908754304842585,437.51369377541863,A
G,20076,2130.95,0.9798092563887129,0.31750084530932693,676.5784263119101,A
G,20146,865.68,0.7912233341365448,0.31324753083604434,271.17212249414683,A
G,27366,912.37,0.8095963045383036,0.3113599389603923,284.07546750929316,A
F,25379,2395.26,0.87111126964949,0.3103481357931618,743.3644757399287,A
C,10823,4107.83,0.8300582544727546,0.30951617812088333,1271.4398419703082,A
F,22852,755.04,0.7657492367012261,0.3088019587395675,233.15783092672305,A
C,22376,1060.69,0.9466986386010954,0.3039158556142431,322.36050889147157,A
G,19285,799.91,0.8304542483239585,0.30093963575382837,240.72462403584484,A
F,5842,2202.25,0.9283708125281681,0.30065904845305386,662.1263894557378,A
F,20499,900.3,0.9471607945016823,0.3004907017758755,270.5317788088207,A
C,22893,1241.53,0.9335145914875177,0.2984541488918746,370.5397794737291,A
F,17987,2840.51,0.7745301129314256,0.29781971789247436,845.9598868707524,A
F,12478,1340.76,0.9119162594931121,0.29768230390472294,399.12052578329633,A
G,15144,3801.96,0.8041726629884748,0.29325777918859763,1114.9543461638807,A
G,18595,784.12,0.7885237537730212,0.29254364048967885,229.38931938076698,A
F,3593,450.23,0.8752159264455922,0.29223567221083274,131.57326669948324,A
C,24164,520.32,0.9917743365778842,0.29071877911791594,151.26679515063404,A
F,12723,1575.49,0.8080866852529077,0.2894515417077387,456.02800944512524,A
C,23463,653.28,0.8497449902702799,0.2885939639282082,188.53266475501982,A
C,6762,900.33,0.7731529751833822,0.2869173586219332,258.3203054880851,A
C,18589,1538.21,0.7973291065572268,0.286699547533568,441.00411101160967,A
F,23468,1827.38,0.9264102947087831,0.2863442187836008,523.2596985207764,A
G,7815,3809.76,0.8264451395915815,0.28527331799173505,1086.8228759521926,A
G,22025,666.81,0.884458198735023,0.282973337561894,188.68945121964654,A
F,21230,532.21,0.9198244385631879,0.28293335821452725,150.57996257535356,A
C,24719,1393.19,0.8708363071457965,0.2822965229997683,393.29269287804726,A
G,5730,1225.78,0.8261665926927897,0.2822781754713867,346.0109419293164,A
F,1812,839.04,0.7575629326184927,0.2813503055858626,236.06416039876214,A
C,5687,934.68,0.907600357771428,0.2810587571222762,262.6999991070491,A
G,19250,852.82,0.81235699615957,0.27988086982492766,238.68800340409481,A
G,8342,2432.74,0.7882733409568086,0.2791102472181547,679.0026628174936,A
F,24004,1843.21,0.8650019415901374,0.2772010375022121,510.93972433445236,A
G,10483,982.61,0.8831913933646223,0.2759127710526194,271.11464796401435,A
G,27038,2086.38,0.8444843434425164,0.27550096958197906,574.7997129164495,A
F,20861,2303.98,0.9155618749496969,0.2733731826823636,629.8463454365121,A
C,14884,1506.33,0.8256674501910898,0.27269445773853623,410.76784252528927,A
F,24468,2299.75,0.9636582865805848,0.27201639601220057,625.5697067290582,A
C,26448,1704.51,0.8755834011020769,0.27115072135580587,462.17911605818466,A
F,2319,950.39,0.8589302534574351,0.2706895128778753,257.2606061440039,A
G,599,820.25,0.7991176451475467,0.27046449685560087,221.8485035458066,A
G,15940,4604.35,0.9100433759835154,0.2693289079188016,1240.0845571759342,A
G,24922,994.66,0.8119803976889772,0.26881369584995285,267.37823071411407,A
F,5008,745.91,0.882667420571722,0.2687359872020273,200.45286021386417,A
C,9383,1720.91,0.812382089806854,0.2678647922002627,460.9711995453541,A
C,16450,2022.86,0.8633989931099624,0.26426326246652376,534.5675831130322,A
F,24225,2192.51,0.8951298831462313,0.26425092122997507,579.3727873059327,A
F,11185,6992.58,0.8307946437801841,0.2640306394391487,1846.255368729402,A
G,9122,850.67,0.8565117716599107,0.26215061407271845,223.0036628732394,A
G,8168,901.45,0.8578182783478705,0.2608614607863662,235.1535638258698,A
C,8444,2116.34,0.7699250505759658,0.2598914073064394,550.01858093891,A
G,11885,4505.46,0.8901372561719934,0.2598006876896192,1170.521606358072,A
G,8604,1418.78,0.8477424642608993,0.2597524650845416,368.5316024126459,A
C,22951,544.76,0.9639701455928945,0.25849553720828855,140.81802884958728,A
G,17253,2037.7,0.8410425734537843,0.25834381766490305,526.427197255773,A
G,6976,978.89,0.9161824562211431,0.2579846734428125,252.53861698643473,A
C,6289,718.91,0.961483290479715,0.2564906874625273,184.39372012368548,A
C,9444,4026.35,0.822316680901931,0.2563879052538013,1032.3074423186429,A
C,17964,2710.03,0.822972137762884,0.25434275965573216,689.2765089498239,A
F,13592,3307.57,0.8424178248299641,0.2530689944107953,837.0434138433142,A
C,20971,2723.15,0.8677233968213474,0.2500522880679429,680.9298882522187,A
F,17317,1468.17,0.9256423064163186,0.24890528672359744,365.43527480898405,A
G,1586,1727.69,0.8606274017538927,0.24820373166695978,428.81910516368976,A
G,10135,737.06,0.8885846094032294,0.24787297125514499,182.69725219331715,A
C,11741,2081.14,0.8895005274443867,0.24782054139149778,515.7492415115016,A
C,11126,2028.65,0.8116482830777804,0.24758761729983395,502.26861983530813,A
C,9523,11665.06,0.9417674697805114,0.24712891747707436,2882.773650105121,A
F,14708,463.91,0.7683021098962511,0.24616309744580928,114.19752253608539,A
F,24123,1959.21,0.9062444671868795,0.24612281403590738,482.2062784872901,A
C,24243,980.32,0.99448635030722,0.24503666661685233,240.2143450178327,A
F,5110,1711.31,0.7886274716002173,0.24430294126026111,418.0780664080974,A
G,8100,1619.38,0.8098259243702549,0.24221824363443287,392.24337937672794,A
G,24271,4533.1,0.7844176841051718,0.23846476749244755,1080.984637520014,A
G,20652,2973.81,0.9254549062133318,0.23747676698731515,706.2107844345477,A
G,13468,446.95,0.8585301646551793,0.23700880374187,105.9310848324288,A
G,14539,1045.82,0.9474899650978351,0.23675095657125841,247.59888540135347,A
C,18533,3251.18,0.8030003246851523,0.23667046239558553,769.4582739312798,A
F,26947,9801.36,0.8687757161701294,0.23648245755817188,2317.8497002123636,A
C,22605,3252.96,0.805301898171268,0.2362814338947068,768.6140532021254,A
G,15128,780.17,0.808390634631859,0.23618879325184464,184.2674108312916,A
G,9096,3068.35,0.80937209671567,0.2359584833418292,724.0032123619017,A
G,22650,3658.62,0.817523449668671,0.23535162767169743,861.0621720322256,A
C,6068,4320.56,0.7647937589239834,0.23510893743840772,1015.8022707388869,A
F,12790,1988.54,0.930681865203876,0.23479088981066762,466.89107602410496,A
G,784,1252.34,0.9246962822611056,0.23406951571223228,293.13461730705694,A
G,25692,3027.42,0.7917902668387393,0.23390577574722185,708.1310236126544,A
C,18490,4736.49,0.8920114849800215,0.2337188811087108,1107.0071431825977,A
C,12911,4899.62,0.8211980363877919,0.23291988442647646,1141.2189241336525,A
C,11301,2614.91,0.8665245829258138,0.2325915482601923,608.2059654610593,A
C,11440,1400.0,0.8584965194690961,0.23156335571055273,324.1886979947738,A
F,18778,10366.72,0.864658335598512,0.2315328192419668,2400.235907892082,A
F,17404,592.61,0.7944352349884496,0.23121279532980477,137.0190146403956,A
G,20349,4757.96,0.9519388952808239,0.2298518560739502,1093.6259371256122,A
C,25493,1333.12,0.9619813886300919,0.2298367113227491,306.3999165985833,A
G,18855,3352.05,0.8065277816531344,0.22820335207323408,764.9490463170844,A
F,6019,3184.96,0.8002269245992831,0.22795353873509908,726.0229027297412,A
G,15672,726.41,0.8497787548059607,0.22776609200086825,165.4515668903507,A
G,8127,3986.87,0.8809011639688983,0.22699260555661785,904.990009315513,A
F,10988,3068.1,0.9254698993979956,0.22651397395493533,694.9675234911371,A
F,12069,4635.91,0.9166706333822536,0.22624023089149406,1048.8293487921862,A
G,15143,2638.31,0.9234526964860886,0.2261987103920145,596.7823196143557,A
F,26306,2179.03,0.8546605506182116,0.2261666430371415,492.8239001772225,A
F,27341,1107.89,0.939780781580507,0.2241128687140387,248.29240611959636,A
F,18335,1592.65,0.8332268599581842,0.2235904740277976,356.1013684603719,A
C,7688,11380.83,0.8479924536550439,0.2232847312745649,2541.1655682315068,A
C,15502,4924.23,0.903242852000615,0.22315570972171764,1098.8700404829735,A
F,18427,9353.91,0.8953067294535447,0.222961044714379,2085.5575457642767,A
C,9661,1675.66,0.8911928237331368,0.22294654345464412,373.582605005209,A
F,11533,12566.32,0.9072854746664076,0.2225245078109259,2796.314172994594,A
C,20739,2237.11,0.8966695177867539,0.22194771637362765,496.52145577660616,A
C,14792,1997.08,0.843719369793955,0.2211456032736829,441.64546138580664,A
F,7436,3474.26,0.837850464268326,0.22111488798444193,768.2106107288273,A
G,15673,6301.03,0.7651519962313938,0.22110600653151852,1393.1955803352942,A
C,10917,5046.11,0.8873419510622382,0.22087850324256103,1114.5772239973196,A
G,19489,1993.98,0.8432840342153749,0.2205610681340254,439.794358637884,A
F,5209,885.59,0.7535518269804049,0.220538066831523,195.30630660532844,A
C,8934,10882.55,0.845884963958236,0.2196105491369236,2389.9227815100276,A
G,22007,4319.11,0.7908369191088027,0.21894652181931665,945.6541118550286,A
C,26194,621.41,0.8055511978041265,0.21869747400940406,135.90079732418377,A
F,14326,2032.98,0.829726580495019,0.21834638320483202,443.8938301277594,A
C,6440,1577.69,0.8339494204217464,0.21774927871320943,343.5408595330434,A
F,10024,2432.82,0.8191691050720032,0.21771561442910367,529.662901095412,A
C,6747,2644.93,0.9033330864733856,0.21709804305118177,574.2091270073622,A
G,12769,4419.26,0.9040871947837361,0.21659885255360023,957.2066451360234,A
G,3526,2691.46,0.7558207120293422,0.21592565468784547,581.1552625661486,A
C,22903,925.4,0.9804910804866294,0.21576392554338877,199.66793669785196,A
F,27028,4846.34,0.914250388892474,0.21480735327331674,1041.0294684626058,A
F,23999,2725.95,0.8917161660191497,0.2145642658544431,584.8914605059191,A
C,6547,2919.58,0.9176729859333874,0.21455607293687987,626.4136194250557,A
G,7352,2147.03,0.925438254671062,0.21423924230068492,459.9780803968396,A
C,20055,4348.88,0.8724436747008518,0.21390986952843172,930.2683533948061,A
F,21634,2032.9,0.8935924190120652,0.2138189923856234,434.67262962073386,A
C,21685,849.86,0.7715232712220621,0.21373707653959562,181.64659186794074,A
G,23816,5267.96,0.8152111061052475,0.21366563377050649,1125.5820120776773,A
G,631,3175.54,0.7887160347626359,0.2135422487411648,678.1119525675184,A
F,26964,1071.47,0.8839041629735044,0.21322118500004458,228.46010309199778,A
C,7382,12003.01,0.8468754732176852,0.21259320146071872,2551.7583230650216,A
F,24406,2105.08,0.8417023031430292,0.2123068501328711,446.9229040777043,A
G,26150,3675.69,0.9305892571991432,0.21150195783451903,777.4156313927632,A
F,23326,577.12,0.7717761168652634,0.2113084012734746,121.95030454294766,A
F,25839,1457.78,0.7633613769942458,0.21129644407640513,308.02373024570187,A
F,16278,1209.64,0.9071862722400885,0.2107147876438005,254.88903572544686,A
G,24525,5400.94,0.9164767074993292,0.21024444428554354,1135.5176289195633,A
C,22686,4728.48,0.863571168278328,0.21021853790446457,994.0141521105026,A
C,18204,1243.91,0.776298466790293,0.20991717935491333,261.11807857137023,A
F,15358,1582.21,0.812926105736409,0.20873388075145305,330.2608334637565,A
C,22501,2392.4,0.9029982777503027,0.20824840268040243,498.2134785725948,A
C,15743,4476.07,0.8408348139686751,0.20747885453089118,928.6898764000861,A
G,24777,8316.8,0.9343629684610419,0.20637130280189014,1716.3488511427597,A
C,8568,3157.33,0.8160153329086322,0.20570069581141193,649.4649779062452,A
F,24960,2391.88,0.8434562686221926,0.20516488467277555,490.7297843511184,A
C,14384,2133.2,0.8729784555265839,0.20486705089411325,437.02239296732233,A
